trial,participant,setSize,pSwap,pTarget,pBestFoil,bestXi,bestFoilXi,visualFoil,visualMatch,resp,target,bestFoil,bestFoilIdx,dTarget,dBestFoil,dInferredFoil,foilMargin,score
7716,78,3,0.688727272727273,0.311272727272727,0.369451577402788,3,3,2,1,1.5708,0.1566,1.4552,2,1.4142,0.1156,0.1156,1.2986,2.89716073922259
8144,82,6,0.743727272727273,0.256272727272727,0.449615150901357,6,6,5,1,2.4267926535,0.9796,2.5781926535,3,1.4471926535,0.1514,0.1514,1.2957926535,2.89279051360612
3600,37,3,0.797409090909091,0.202590909090909,0.474614813439762,3,3,2,1,1.4159,2.9217,1.5852926535,1,1.5058,0.1693926535,0.1693926535,1.3364073465,2.89106637492137
4406,45,3,0.5235,0.4765,0.475848504253957,1,3,2,1,0.1690926535,1.1219926535,0.0763,1,0.9529,0.0927926534999999,0.0927926534999999,0.8601073465,2.86625946292023
692,7,6,0.632090909090909,0.367909090909091,0.358268116678524,1,6,5,1,2.5017926535,1.2793926535,2.5951926535,3,1.2224,0.0933999999999999,0.0933999999999999,1.129,2.82067436352897
1054,11,6,0.643181818181818,0.356818181818182,0.358210358116364,1,6,5,1,0.8497,2.0462926535,0.7591,5,1.1965926535,0.0906,0.0906,1.1059926535,2.81776688822406
4577,46,6,0.891636363636364,0.108363636363636,0.43760957771878,6,6,5,1,3.0533073465,1.2610926535,0.0528,1,1.349285307,0.1409926535,0.1409926535,1.2082926535,2.76848574104364
5269,53,6,0.679909090909091,0.320090909090909,0.50934769355822,6,6,5,1,0.3697,1.7418,0.1961,4,1.3721,0.1736,0.1736,1.1985,2.7301127492376
7742,78,6,0.654590909090909,0.345409090909091,0.26323293530565,1,5,4,1,2.4946,1.5286,2.5347926535,2,0.966,0.0401926535000001,0.0401926535000001,0.9258073465,2.70202700430284
4434,45,3,0.457272727272727,0.542727272727273,0.386548107615139,1,3,2,1,1.9517926535,0.5096926535,2.0885926535,1,1.4421,0.1368,0.1368,1.3053,2.70107732799808
